f1f3syn(-1 ~ 1)	a1-a3[dB]	breathpow[dB]
0.768	2.96	-69.08
0.618	0.03	-57.53
0.552	0.23	-55.52
0.523	1.59	-53.74
0.771	1.04	-62.31
0.599	0.76	-56.09
0.658	0.21	-59.70
0.486	0.62	-52.60
0.519	3.38	-53.97
0.461	-3.21	-51.24
0.453	-0.59	-50.98
0.490	0.76	-52.58
0.450	-2.02	-51.66
0.506	-2.21	-54.03
0.587	-5.27	-56.36
0.536	-1.45	-55.10
0.421	2.20	-51.70
0.513	-2.78	-53.79
0.520	-3.58	-54.70
0.679	-2.12	-60.63
0.530	-0.12	-55.08
0.576	2.88	-58.85
0.539	-0.25	-54.70
0.647	3.64	-58.50
0.495	4.40	-53.00
0.506	0.70	-53.53
0.624	8.15	-53.35
0.606	10.60	-51.07
0.521	6.01	-52.86
0.434	1.25	-49.91
0.455	2.12	-50.76
0.544	-1.25	-52.58
0.487	0.03	-49.90
0.530	-0.26	-51.32
0.486	4.41	-49.46
0.452	2.93	-49.17
0.489	-2.72	-50.33
0.463	3.34	-49.51
0.469	3.51	-50.73
0.523	1.22	-53.82
0.477	-2.72	-52.29
0.471	-1.94	-52.99
0.395	-0.35	-51.47
0.606	0.38	-57.01
0.371	2.03	-49.50
0.485	-2.30	-52.83
0.441	-1.58	-51.80
0.499	2.10	-53.81
0.505	-1.00	-52.50
0.552	2.08	-50.77
0.510	1.30	-49.78
0.569	-2.29	-55.83
0.562	-2.46	-55.38
0.530	0.03	-54.36
0.572	-2.35	-56.00
0.559	0.30	-56.19
0.513	1.30	-54.58
0.608	-0.95	-57.86
0.494	-0.75	-53.48
0.551	-3.44	-55.92
0.448	-1.99	-52.78
0.497	4.61	-53.23
0.514	2.96	-54.38
0.445	2.38	-51.00
0.497	-5.30	-55.96
0.617	-4.28	-56.68
0.496	1.46	-52.42
0.482	0.78	-52.61
0.528	-1.15	-54.65
0.568	-0.05	-56.07
0.520	1.15	-54.56
0.502	-1.56	-53.01
0.455	3.00	-51.15
0.534	2.90	-54.36
0.502	-2.60	-53.48
0.613	2.37	-58.18
0.450	-2.81	-53.16
0.512	-3.82	-54.39
0.520	-1.88	-53.74
0.487	1.31	-53.09
0.466	0.90	-51.82
0.306	-4.74	-47.77
0.503	1.63	-53.01
0.497	1.09	-52.74
0.480	-0.16	-53.69
0.558	-1.60	-55.69
0.505	0.93	-52.16
0.509	4.74	-52.98
0.441	2.84	-51.39
0.464	-3.45	-52.04
0.460	-1.91	-51.97
0.479	-0.62	-53.08
0.536	1.97	-54.98
0.483	1.61	-53.19
0.427	0.85	-51.26
0.488	3.45	-53.25
0.370	-2.56	-50.55
0.559	-2.65	-55.56
0.637	-1.98	-57.93
0.428	-1.34	-52.07
0.530	0.51	-54.56
0.515	-1.71	-53.42
0.588	-1.39	-56.92
0.413	-0.80	-50.43
0.556	1.66	-54.98
0.642	1.25	-58.20
0.542	0.23	-55.00
0.578	-1.24	-56.74
0.593	-3.19	-57.62
0.587	-1.37	-56.55
0.374	3.08	-51.35
